support,itemsets
0.014266666666666667,frozenset({'black tea'})
0.014266666666666667,"frozenset({'spaghetti', 'soup'})"
0.014266666666666667,"frozenset({'frozen smoothie', 'milk'})"
0.014133333333333333,"frozenset({'ground beef', 'olive oil'})"
0.014133333333333333,"frozenset({'green tea', 'cake'})"
0.014133333333333333,frozenset({'tomato sauce'})
0.014133333333333333,"frozenset({'shrimp', 'eggs'})"
0.014133333333333333,"frozenset({'spaghetti', 'whole wheat rice'})"
0.014,"frozenset({'mineral water', 'chocolate', 'milk'})"
0.014,"frozenset({'tomatoes', 'milk'})"
0.014,"frozenset({'tomatoes', 'chocolate'})"
0.014,"frozenset({'spaghetti', 'escalope'})"
0.013866666666666666,"frozenset({'french fries', 'ground beef'})"
0.0136,frozenset({'fromage blanc'})
0.0136,"frozenset({'chocolate', 'cake'})"
0.0136,"frozenset({'chocolate', 'cooking oil'})"
0.013466666666666667,frozenset({'gums'})
0.013466666666666667,"frozenset({'pancakes', 'frozen vegetables'})"
0.013466666666666667,"frozenset({'salmon', 'spaghetti'})"
0.013466666666666667,"frozenset({'mineral water', 'chocolate', 'eggs'})"
0.013333333333333334,"frozenset({'cake', 'milk'})"
0.013333333333333334,"frozenset({'fresh bread', 'mineral water'})"
0.013333333333333334,"frozenset({'low fat yogurt', 'french fries'})"
0.013333333333333334,"frozenset({'french fries', 'cookies'})"
0.0132,frozenset({'eggplant'})
0.0132,"frozenset({'low fat yogurt', 'milk'})"
0.013066666666666667,"frozenset({'mineral water', 'eggs', 'milk'})"
0.012533333333333334,"frozenset({'eggs', 'herb & pepper'})"
0.012266666666666667,"frozenset({'tomatoes', 'eggs'})"
0.012266666666666667,"frozenset({'tomatoes', 'green tea'})"
0.012,"frozenset({'green tea', 'cookies'})"
0.012,frozenset({'extra dark chocolate'})
0.012,"frozenset({'chocolate', 'whole wheat rice'})"
0.012,"frozenset({'french fries', 'tomatoes'})"
0.012,"frozenset({'burgers', 'ground beef'})"
0.012,frozenset({'melons'})
0.012,"frozenset({'mineral water', 'spaghetti', 'frozen vegetables'})"
0.012,"frozenset({'eggs', 'olive oil'})"
0.011866666666666666,"frozenset({'green tea', 'turkey'})"
0.011866666666666666,"frozenset({'green tea', 'chicken'})"
0.011866666666666666,"frozenset({'whole wheat rice', 'milk'})"
0.011866666666666666,"frozenset({'cake', 'pancakes'})"
0.011866666666666666,"frozenset({'honey', 'spaghetti'})"
0.011733333333333333,"frozenset({'tomatoes', 'ground beef'})"
0.011733333333333333,"frozenset({'eggs', 'cooking oil'})"
0.0116,"frozenset({'chocolate', 'champagne'})"
0.011466666666666667,"frozenset({'mineral water', 'avocado'})"
0.011466666666666667,frozenset({'body spray'})
0.011466666666666667,"frozenset({'cooking oil', 'milk'})"
0.011466666666666667,"frozenset({'mineral water', 'spaghetti', 'pancakes'})"
0.011466666666666667,"frozenset({'shrimp', 'ground beef'})"
0.011466666666666667,"frozenset({'burgers', 'cake'})"
0.011333333333333334,frozenset({'yams'})
0.011333333333333334,"frozenset({'grated cheese', 'ground beef'})"
0.011333333333333334,"frozenset({'shrimp', 'green tea'})"
0.011333333333333334,"frozenset({'olive oil', 'frozen vegetables'})"
0.011333333333333334,"frozenset({'turkey', 'milk'})"
0.011333333333333334,"frozenset({'chocolate', 'turkey'})"
0.0112,"frozenset({'shrimp', 'tomatoes'})"
0.011066666666666667,"frozenset({'milk', 'mineral water', 'frozen vegetables'})"
0.011066666666666667,"frozenset({'eggs', 'frozen smoothie'})"
0.011066666666666667,"frozenset({'eggs', 'escalope'})"
0.011066666666666667,"frozenset({'mineral water', 'ground beef', 'milk'})"
0.011066666666666667,"frozenset({'green tea', 'frozen smoothie'})"
0.011066666666666667,"frozenset({'french fries', 'chicken'})"
0.010933333333333333,"frozenset({'eggs', 'whole wheat rice'})"
0.010933333333333333,"frozenset({'mineral water', 'red wine'})"
0.010933333333333333,"frozenset({'grated cheese', 'chocolate'})"
0.010933333333333333,frozenset({'magazines'})
0.010933333333333333,"frozenset({'mineral water', 'chocolate', 'ground beef'})"
0.010933333333333333,"frozenset({'chocolate', 'spaghetti', 'milk'})"
0.0108,"frozenset({'olive oil', 'pancakes'})"
0.0108,frozenset({'barbecue sauce'})
0.010666666666666666,"frozenset({'french fries', 'turkey'})"
0.010666666666666666,"frozenset({'salmon', 'chocolate'})"
0.010666666666666666,"frozenset({'burgers', 'turkey'})"
0.010533333333333334,"frozenset({'burgers', 'frozen vegetables'})"
0.010533333333333334,"frozenset({'chocolate', 'eggs', 'spaghetti'})"
0.010533333333333334,"frozenset({'shrimp', 'pancakes'})"
0.010533333333333334,frozenset({'cider'})
0.010533333333333334,"frozenset({'burgers', 'pancakes'})"
0.010533333333333334,"frozenset({'eggs', 'cookies'})"
0.010533333333333334,"frozenset({'french fries', 'whole wheat rice'})"
0.0104,frozenset({'nonfat milk'})
0.0104,"frozenset({'french fries', 'grated cheese'})"
0.0104,"frozenset({'chocolate', 'cookies'})"
0.010266666666666667,"frozenset({'spaghetti', 'red wine'})"
0.010266666666666667,"frozenset({'mineral water', 'cereals'})"
0.010266666666666667,"frozenset({'mineral water', 'spaghetti', 'olive oil'})"
0.010266666666666667,"frozenset({'cake', 'frozen vegetables'})"
0.010133333333333333,"frozenset({'mineral water', 'eggs', 'ground beef'})"
0.010133333333333333,"frozenset({'french fries', 'mineral water', 'spaghetti'})"
0.010133333333333333,"frozenset({'low fat yogurt', 'frozen vegetables'})"
0.010133333333333333,"frozenset({'chocolate', 'soup'})"
0.01,"frozenset({'shrimp', 'french fries'})"
0.01,"frozenset({'frozen smoothie', 'frozen vegetables'})"
